Configuration	STM32MP157DAA
STM32CubeMX 	6.0.1
Date	10/21/2020
MCU	STM32MP157DAAx



PERIPHERALS	MODES	FUNCTIONS	PINS
DDR	DDR3 / DDR3L	DDR_DQ9	DDR_DQ9
DDR	DDR3 / DDR3L	DDR_DQ10	DDR_DQ10
DDR	DDR3 / DDR3L	DDR_DQ11	DDR_DQ11
DDR	DDR3 / DDR3L	DDR_DQ12	DDR_DQ12
DDR	DDR3 / DDR3L	DDR_DQ13	DDR_DQ13
DDR	DDR3 / DDR3L	DDR_DQ14	DDR_DQ14
DDR	DDR3 / DDR3L	DDR_DQ15	DDR_DQ15
DDR	DDR3 / DDR3L	DDR_DQM0	DDR_DQM0
DDR	DDR3 / DDR3L	DDR_DQM1	DDR_DQM1
DDR	DDR3 / DDR3L	DDR_DQS0N	DDR_DQS0N
DDR	DDR3 / DDR3L	DDR_DQS0P	DDR_DQS0P
DDR	DDR3 / DDR3L	DDR_DQS1N	DDR_DQS1N
DDR	DDR3 / DDR3L	DDR_DQS1P	DDR_DQS1P
DDR	DDR3 / DDR3L	DDR_DTO0	DDR_DTO0
DDR	DDR3 / DDR3L	DDR_DTO1	DDR_DTO1
DDR	DDR3 / DDR3L	DDR_ODT	DDR_ODT
DDR	DDR3 / DDR3L	DDR_RASN	DDR_RASN
DDR	DDR3 / DDR3L	DDR_RESETN	DDR_RESETN
DDR	DDR3 / DDR3L	DDR_VREF	DDR_VREF
DDR	DDR3 / DDR3L	DDR_WEN	DDR_WEN
DDR	DDR3 / DDR3L	DDR_ZQ	DDR_ZQ
DDR	32bits	DDR_DDR_32_bits	VP_DDR_DDR_32_bits
DDR	32bits	DDR_DQ16	DDR_DQ16
DDR	32bits	DDR_DQ17	DDR_DQ17
DDR	32bits	DDR_DQ18	DDR_DQ18
DDR	32bits	DDR_DQ19	DDR_DQ19
DDR	32bits	DDR_DQ20	DDR_DQ20
DDR	32bits	DDR_DQ21	DDR_DQ21
DDR	32bits	DDR_DQ22	DDR_DQ22
DDR	32bits	DDR_DQ23	DDR_DQ23
DDR	32bits	DDR_DQ24	DDR_DQ24
DDR	32bits	DDR_DQ25	DDR_DQ25
DDR	32bits	DDR_DQ26	DDR_DQ26
DDR	32bits	DDR_DQ27	DDR_DQ27
DDR	32bits	DDR_DQ28	DDR_DQ28
DDR	32bits	DDR_DQ29	DDR_DQ29
DDR	32bits	DDR_DQ30	DDR_DQ30
DDR	32bits	DDR_DQ31	DDR_DQ31
DDR	32bits	DDR_DQM2	DDR_DQM2
DDR	32bits	DDR_DQM3	DDR_DQM3
DDR	32bits	DDR_DQS2N	DDR_DQS2N
DDR	32bits	DDR_DQS2P	DDR_DQS2P
DDR	32bits	DDR_DQS3N	DDR_DQS3N
DDR	32bits	DDR_DQS3P	DDR_DQS3P
DDR	8Gb	DDR_DDR3_32_8Gb	VP_DDR_DDR3_32_8Gb
DDR	8Gb	DDR_A14	DDR_A14
DDR	8Gb	DDR_A13	DDR_A13
DDR	8Gb	DDR_A12	DDR_A12
DEBUG	JTAG (5 pins)	DEBUG_JTCK-SWCLK	JTCK-SWCLK
DEBUG	JTAG (5 pins)	DEBUG_JTDI	JTDI
DEBUG	JTAG (5 pins)	DEBUG_JTDO-SWO	JTDO-TRACESWO
DEBUG	JTAG (5 pins)	DEBUG_JTMS-SWDIO	JTMS-SWDIO
DEBUG	JTAG (5 pins)	DEBUG_JTRST	NJTRST
ETH1	RGMII (Reduced GMII)	ETH1_MDC	PC1
ETH1	RGMII (Reduced GMII)	ETH1_MDIO	PA2
ETH1	RGMII (Reduced GMII)	ETH1_GTX_CLK	PG4
ETH1	RGMII (Reduced GMII)	ETH1_RX_CLK	PA1
ETH1	RGMII (Reduced GMII)	ETH1_RX_CTL	PA7
ETH1	RGMII (Reduced GMII)	ETH1_RXD0	PC4
ETH1	RGMII (Reduced GMII)	ETH1_RXD1	PC5
ETH1	RGMII (Reduced GMII)	ETH1_RXD2	PH6
ETH1	RGMII (Reduced GMII)	ETH1_RXD3	PH7
ETH1	RGMII (Reduced GMII)	ETH1_TX_CTL	PG11
ETH1	RGMII (Reduced GMII)	ETH1_TXD0	PG13
ETH1	RGMII (Reduced GMII)	ETH1_TXD1	PB13
ETH1	RGMII (Reduced GMII)	ETH1_TXD2	PC2
ETH1	RGMII (Reduced GMII)	ETH1_TXD3	PE2
ETH1	ETH PHY_INTN	ETH1_PHY_INTN	PG12
FDCAN1	FD	FDCAN1_RX	PD0
FDCAN1	FD	FDCAN1_TX	PD1
HDMI_CEC	Activated	CEC	PA15
I2C1	I2C	I2C1_SCL	PF14
I2C1	I2C	I2C1_SDA	PB7
I2C2	I2C	I2C2_SCL	PF1
I2C2	I2C	I2C2_SDA	PH5
I2C4	I2C	I2C4_SCL	PZ4
I2C4	I2C	I2C4_SDA	PZ5
I2C5	I2C	I2C5_SCL	PA11
I2C5	I2C	I2C5_SDA	PA12
I2S1	Full-Duplex Master	I2S1_CK	PZ0
I2S1	Full-Duplex Master	I2S1_SDO	PZ2
I2S1	Full-Duplex Master	I2S1_WS	PZ3
I2S1	Full-Duplex Master	I2S1_SDI	PZ1
I2S1	Activated	I2S1_MCK	PZ6
LTDC	RGB888 (24 bits)	LTDC_R0	PI15
LTDC	RGB888 (24 bits)	LTDC_R1	PJ0
LTDC	RGB888 (24 bits)	LTDC_R2	PC10
LTDC	RGB888 (24 bits)	LTDC_R3	PJ2
LTDC	RGB888 (24 bits)	LTDC_R4	PH10
LTDC	RGB888 (24 bits)	LTDC_R5	PJ4
LTDC	RGB888 (24 bits)	LTDC_R6	PH12
LTDC	RGB888 (24 bits)	LTDC_R7	PE15
LTDC	RGB888 (24 bits)	LTDC_G0	PJ7
LTDC	RGB888 (24 bits)	LTDC_G1	PJ8
LTDC	RGB888 (24 bits)	LTDC_G2	PH13
LTDC	RGB888 (24 bits)	LTDC_G3	PE11
LTDC	RGB888 (24 bits)	LTDC_G4	PH4
LTDC	RGB888 (24 bits)	LTDC_G5	PI0
LTDC	RGB888 (24 bits)	LTDC_G6	PI1
LTDC	RGB888 (24 bits)	LTDC_G7	PB5
LTDC	RGB888 (24 bits)	LTDC_B0	PJ12
LTDC	RGB888 (24 bits)	LTDC_B1	PJ13
LTDC	RGB888 (24 bits)	LTDC_B2	PJ14
LTDC	RGB888 (24 bits)	LTDC_B3	PD10
LTDC	RGB888 (24 bits)	LTDC_B4	PK3
LTDC	RGB888 (24 bits)	LTDC_B5	PK4
LTDC	RGB888 (24 bits)	LTDC_B6	PK5
LTDC	RGB888 (24 bits)	LTDC_B7	PK6
LTDC	RGB888 (24 bits)	LTDC_HSYNC	PI12
LTDC	RGB888 (24 bits)	LTDC_VSYNC	PI13
LTDC	RGB888 (24 bits)	LTDC_CLK	PE14
LTDC	RGB888 (24 bits)	LTDC_DE	PK7
PWR	WakeUp1	PWR_WKUP1	PA0
PWR	WakeUp3	PWR_WKUP3	PC13
PWR	WakeUp4	PWR_WKUP4	PI8
RCC	BYPASS Clock Source	RCC_OSC_IN	PH0-OSC_IN
RCC	Crystal/Ceramic Resonator	RCC_OSC32_IN	PC14-OSC32_IN
RCC	Crystal/Ceramic Resonator	RCC_OSC32_OUT	PC15-OSC32_OUT
RTC	Activate Clock Source	RTC_VS_RTC_Activate	VP_RTC_VS_RTC_Activate
SAI1:SAI A	Master with Master Clock Out	SAI1_SD_A	PD6
SAI1:SAI A	Master with Master Clock Out	SAI1_SCK_A	PE5
SAI1:SAI A	Master with Master Clock Out	SAI1_FS_A	PG15
SAI1:SAI A	Master with Master Clock Out	SAI1_MCLK_A	PG7
SAI1:SAI B	Master with Master Clock Out	SAI1_SD_B	PF6
SAI1:SAI B	Master with Master Clock Out	SAI1_SCK_B	PF8
SAI1:SAI B	Master with Master Clock Out	SAI1_FS_B	PF9
SAI1:SAI B	Master with Master Clock Out	SAI1_MCLK_B	PF7
SAI2:SAI A	Master with Master Clock Out	SAI2_SD_A	PI6
SAI2:SAI A	Master with Master Clock Out	SAI2_SCK_A	PD13
SAI2:SAI A	Master with Master Clock Out	SAI2_FS_A	PD12
SAI2:SAI A	Master with Master Clock Out	SAI2_MCLK_A	PE0
SAI2:SAI B	Master with Master Clock Out	SAI2_SD_B	PF11
SAI2:SAI B	Master with Master Clock Out	SAI2_SCK_B	PE12
SAI2:SAI B	Master with Master Clock Out	SAI2_FS_B	PC0
SAI2:SAI B	Master with Master Clock Out	SAI2_MCLK_B	PH3
SDMMC1	SD 4 bits Wide bus	SDMMC1_CK	PC12
SDMMC1	SD 4 bits Wide bus	SDMMC1_CMD	PD2
SDMMC1	SD 4 bits Wide bus	SDMMC1_D0	PC8
SDMMC1	SD 4 bits Wide bus	SDMMC1_D1	PC9
SDMMC1	SD 4 bits Wide bus	SDMMC1_D2	PE6
SDMMC1	SD 4 bits Wide bus	SDMMC1_D3	PC11
SDMMC2	MMC 8 bits Wide bus	SDMMC2_CK	PE3
SDMMC2	MMC 8 bits Wide bus	SDMMC2_CMD	PG6
SDMMC2	MMC 8 bits Wide bus	SDMMC2_D0	PB14
SDMMC2	MMC 8 bits Wide bus	SDMMC2_D1	PB15
SDMMC2	MMC 8 bits Wide bus	SDMMC2_D2	PB3
SDMMC2	MMC 8 bits Wide bus	SDMMC2_D3	PB4
SDMMC2	MMC 8 bits Wide bus	SDMMC2_D4	PE4
SDMMC2	MMC 8 bits Wide bus	SDMMC2_D5	PB9
SDMMC2	MMC 8 bits Wide bus	SDMMC2_D6	PC6
SDMMC2	MMC 8 bits Wide bus	SDMMC2_D7	PD3
SPI2	Full-Duplex Master	SPI2_MISO	PI2
SPI2	Full-Duplex Master	SPI2_MOSI	PI3
SPI2	Full-Duplex Master	SPI2_SCK	PB10
SPI5	Full-Duplex Master	SPI5_MISO	PJ11
SPI5	Full-Duplex Master	SPI5_MOSI	PJ10
SPI5	Full-Duplex Master	SPI5_SCK	PK0
SPI5	Hardware NSS Output Signal	SPI5_NSS	PK1
SYS	SysTick	SYS_VS_Systick	VP_SYS_VS_Systick
TAMP	TAMP_Enabled	TAMP_VS_TAMP_Activate	VP_TAMP_VS_TAMP_Activate
UART4	Asynchronous	UART4_RX	PI9
UART4	Asynchronous	UART4_TX	PA13
UART5	Asynchronous	UART5_RX	PB12
UART5	Asynchronous	UART5_TX	PB6
UART7	Asynchronous	UART7_RX	PA8
UART7	Asynchronous	UART7_TX	PE8
USART1	Asynchronous	USART1_RX	PA10
USART1	Asynchronous	USART1_TX	PA9
USART2	Asynchronous	USART2_RX	PF4
USART2	Asynchronous	USART2_TX	PD5
USART3	Asynchronous	USART3_RX	PD9
USART3	Asynchronous	USART3_TX	PD8
USART3	Hardware Flow Control (RS485)	USART3_DE	PG8
USART6	Asynchronous	USART6_RX	PG9
USART6	Asynchronous	USART6_TX	PG14
USBH_HS1	Enable	USBH_HS1_DM	USB_DM1
USBH_HS1	Enable	USBH_HS1_DP	USB_DP1
USB_OTG_HS	OTG/Dual_Role_Device Type C	USB_OTG_HS_DM	USB_DM2
USB_OTG_HS	OTG/Dual_Role_Device Type C	USB_OTG_HS_DP	USB_DP2
USB_OTG_HS	Activate-VBUS	USB_OTG_HS_VBUS	OTG_VBUS



Pin Nb	PINs	FUNCTIONs	LABELs
A2	PH5	I2C2_SDA	
A3	PH4	LTDC_G4	
A4	PE13	DCMI_D6	
A5	PK6	LTDC_B7	
A6	PK4	LTDC_B5	
A7	PJ13	LTDC_B1	
A8	PD10	LTDC_B3	
A9	PD5	USART2_TX	
A10	PE3	SDMMC2_CK	
A11	PA9	USART1_TX	
A12	PB3	SDMMC2_D2	
A13	PB14	SDMMC2_D0	
A15	DSIHOST_D0N*	DSIHOST_D0N	
A16	DSIHOST_CKN*	DSIHOST_CKN	
A17	DSIHOST_D1N*	DSIHOST_D1N	
A20	DDR_DQ20	DDR_DQ20	
A21	DDR_DQ23	DDR_DQ23	
B1	PH10	LTDC_R4	
B3	PH11	DCMI_D2	
B4	PE14	LTDC_CLK	
B5	PK7	LTDC_DE	
B6	PK3	LTDC_B4	
B7	PJ14	LTDC_B2	
B8	PJ12	LTDC_B0	
B9	PF1	I2C2_SCL	
B10	PD1	FDCAN1_TX	
B11	PD3	SDMMC2_D7	
B12	PB15	SDMMC2_D1	
B13	PA8	UART7_RX	
B15	DSIHOST_D0P*	DSIHOST_D0P	
B16	DSIHOST_CKP*	DSIHOST_CKP	
B17	DSIHOST_D1P*	DSIHOST_D1P	
B20	DDR_DQ19	DDR_DQ19	
B21	DDR_DQ16	DDR_DQ16	
B22	DDR_DQS2N	DDR_DQS2N	
C2	PH14	DCMI_D4	
C4	PE15	LTDC_R7	
C5	PE0	SAI2_MCLK_A	
C6	PK5	LTDC_B6	
C10	PD0	FDCAN1_RX	
C12	PE5	SAI1_SCK_A	
C13	PB4	SDMMC2_D3	
C21	DDR_DQS2P	DDR_DQS2P	
C22	DDR_DQM2	DDR_DQM2	
D1	PI0	LTDC_G5	
D3	PH13	LTDC_G2	
D5	PE11	LTDC_G3	
D6	PH8	DCMI_HSYNC	
D7	PE1	DCMI_D3	
D8	PK0	SPI5_SCK	
D10	PG15	SAI1_FS_A	
D11	PG6	SDMMC2_CMD	
D12	PD2	SDMMC1_CMD	
D13	PC7	DCMI_D1	
D14	PC9	SDMMC1_D1	
D15	PC11	SDMMC1_D3	
D16	JTDI	DEBUG_JTDI	
D17	JTCK-SWCLK	DEBUG_JTCK-SWCLK	
D20	DDR_DQ22	DDR_DQ22	
D21	DDR_DQ17	DDR_DQ17	
D22	DDR_DQ18	DDR_DQ18	
E1	PI2	SPI2_MISO	
E2	PI1	LTDC_G6	
E3	PI3	SPI2_MOSI	
E4	PE12	SAI2_SCK_B	
E6	PH9	DCMI_D0	
E7	PK1	SPI5_NSS	
E9	PE6	SDMMC1_D2	
E11	PA15	CEC	
E12	PC12	SDMMC1_CK	
E13	PC6	SDMMC2_D6	
E14	PC8	SDMMC1_D0	
E15	NJTRST	DEBUG_JTRST	
E16	JTDO-TRACESWO	DEBUG_JTDO-SWO	
E17	JTMS-SWDIO	DEBUG_JTMS-SWDIO	
E20	DDR_DQ3	DDR_DQ3	
E21	DDR_DQ0	DDR_DQ0	
E22	DDR_DQ21	DDR_DQ21	
F1	PI7	DCMI_D7	
F2	PI5	DCMI_VSYNC	
F3	PI15	LTDC_R0	
F4	PZ3	I2S1_WS	
F5	PH12	LTDC_R6	
F9	PF4	USART2_RX	
F11	PB7	I2C1_SDA	
F12	PB9	SDMMC2_D5	
F14	PC10	LTDC_R2	
F15	PE4	SDMMC2_D4	
F18	DDR_A7	DDR_A7	
F19	DDR_RESETN	DDR_RESETN	
F21	DDR_DQ1	DDR_DQ1	
G1	PZ4	I2C4_SCL	
G2	PZ0	I2S1_CK	
G3	PZ6	I2S1_MCK	
G5	PI6	SAI2_SD_A	
G18	DDR_A13	DDR_A13	
G19	DDR_DQ7	DDR_DQ7	
G20	DDR_DQM0	DDR_DQM0	
G21	DDR_DQS0N	DDR_DQS0N	
G22	DDR_DQS0P	DDR_DQS0P	
H1	PI13	LTDC_VSYNC	
H2	PI12	LTDC_HSYNC	
H4	PZ5	I2C4_SDA	
H5	PZ1	I2S1_SDI	
H6	PJ8	LTDC_G1	
H18	DDR_A9	DDR_A9	
H19	DDR_A5	DDR_A5	
H20	DDR_DQ5	DDR_DQ5	
H21	DDR_DQ2	DDR_DQ2	
H22	DDR_DQ6	DDR_DQ6	
J2	PJ0	LTDC_R1	
J3	PJ10	SPI5_MOSI	
J4	PG12	ETH1_PHY_INTN	
J5	PI9	UART4_RX	
J6	PI4	DCMI_D5	
J18	DDR_A2	DDR_A2	
J19	DDR_A3	DDR_A3	
J21	DDR_DQ4	DDR_DQ4	
K2	PJ4	LTDC_R5	
K4	PJ2	LTDC_R3	
K5	PZ2	I2S1_SDO	
K6	PJ11	SPI5_MISO	
K18	DDR_BA2	DDR_BA2	
K19	DDR_A0	DDR_A0	
K20	DDR_BA0	DDR_BA0	
K21	DDR_DTO1	DDR_DTO1	
K22	DDR_ZQ	DDR_ZQ	
L3	PD6	SAI1_SD_A	
L4	PJ7	LTDC_G0	
L18	DDR_CSN	DDR_CSN	
L21	DDR_ODT	DDR_ODT	
L22	DDR_DTO0	DDR_DTO0	
M1	PD8	USART3_TX	
M2	PD9	USART3_RX	
M18	DDR_A1	DDR_A1	
M20	DDR_RASN	DDR_RASN	
M21	DDR_WEN	DDR_WEN	
M22	DDR_CASN	DDR_CASN	
N1	PI8	PWR_WKUP4	
N2	PC13	PWR_WKUP3	
N18	DDR_A10	DDR_A10	
N19	DDR_A12	DDR_A12	
N20	DDR_CLKP	DDR_CLKP	
N21	DDR_CLKN	DDR_CLKN	
N22	DDR_DQ8	DDR_DQ8	
P1	PC14-OSC32_IN	RCC_OSC32_IN	
P2	PC15-OSC32_OUT	RCC_OSC32_OUT	
P18	DDR_A14	DDR_A14	
P19	DDR_A11	DDR_A11	
P21	DDR_DQ10	DDR_DQ10	
R4	ANA0	ADC1_INP0	
R18	DDR_BA1	DDR_BA1	
R19	DDR_CKE	DDR_CKE	
R20	DDR_DQ13	DDR_DQ13	
R21	DDR_DQ9	DDR_DQ9	
R22	DDR_DQS1N	DDR_DQS1N	
T1	PH0-OSC_IN	RCC_OSC_IN	
T5	ANA1	ADC1_INP1	
T18	DDR_A4	DDR_A4	
T20	DDR_DQ11	DDR_DQ11	
T21	DDR_DQM1	DDR_DQM1	
T22	DDR_DQS1P	DDR_DQS1P	
U5	PA5	DAC1_OUT2	
U10	PC0	SAI2_FS_B	
U11	PG11	ETH1_TX_CTL	
U18	DDR_A8	DDR_A8	
U19	DDR_A6	DDR_A6	
U21	DDR_DQ14	DDR_DQ14	
V4	PA1	ETH1_RX_CLK	
V6	PA4	DAC1_OUT1	
V7	PF14	I2C1_SCL	
V9	PB10	SPI2_SCK	
V10	PB13	ETH1_TXD1	
V11	PH6	ETH1_RXD2	
V14	PD13	SAI2_SCK_A	
V15	OTG_VBUS	USB_OTG_HS_VBUS	
V20	DDR_DQ12	DDR_DQ12	
V21	DDR_DQ15	DDR_DQ15	
V22	DDR_DQ24	DDR_DQ24	
W2	PH7	ETH1_RXD3	
W3	PA13	UART4_TX	
W8	PF11	SAI2_SD_B	
W9	PA6	DCMI_PIXCLK	
W12	PD12	SAI2_FS_A	
W13	PB6	UART5_TX	
W15	PG9	USART6_RX	
W16	PA12	I2C5_SDA	
W20	DDR_DQ25	DDR_DQ25	
W21	DDR_DQ31	DDR_DQ31	
W22	DDR_DQ30	DDR_DQ30	
Y1	PC2	ETH1_TXD2	
Y2	PE2	ETH1_TXD3	
Y6	PH3	SAI2_MCLK_B	
Y8	PG8	USART3_DE	
Y9	PA7	ETH1_RX_CTL	
Y11	PG7	SAI1_MCLK_A	
Y12	PE8	UART7_TX	
Y16	PA11	I2C5_SCL	
Y17	PA10	USART1_RX	
Y21	DDR_DQS3P	DDR_DQS3P	
Y22	DDR_DQS3N	DDR_DQS3N	
AA1	PG13	ETH1_TXD0	
AA2	PG14	USART6_TX	
AA3	PA0	PWR_WKUP1	
AA6	PC5	ETH1_RXD1	
AA7	PB12	UART5_RX	
AA8	PB5	LTDC_G7	
AA10	PF7	SAI1_MCLK_B	
AA11	PF6	SAI1_SD_B	
AA14	USB_DM2	USB_OTG_HS_DM	
AA15	USB_DP1	USBH_HS1_DP	
AA19	DDR_ATO	DDR_ATO	
AA20	DDR_DQ29	DDR_DQ29	
AA21	DDR_DQ28	DDR_DQ28	
AA22	DDR_DQM3	DDR_DQM3	
AB2	PA2	ETH1_MDIO	
AB3	PC1	ETH1_MDC	
AB4	PG4	ETH1_GTX_CLK	
AB6	PC4	ETH1_RXD0	
AB10	PF8	SAI1_SCK_B	
AB11	PF9	SAI1_FS_B	
AB14	USB_DP2	USB_OTG_HS_DP	
AB15	USB_DM1	USBH_HS1_DM	
AB19	DDR_VREF	DDR_VREF	
AB20	DDR_DQ27	DDR_DQ27	
AB21	DDR_DQ26	DDR_DQ26	
PERIPHERALS	MODES	FUNCTIONS	PINS
ADC1	IN0 Single-ended	ADC1_INP0	ANA0
ADC1	IN1 Single-ended	ADC1_INP1	ANA1
DAC1	Connected to external pin only	DAC1_OUT1	PA4
DAC1	Connected to external pin only	DAC1_OUT2	PA5
DCMI	Slave 8 bits External Synchro	DCMI_D0	PH9
DCMI	Slave 8 bits External Synchro	DCMI_D1	PC7
DCMI	Slave 8 bits External Synchro	DCMI_D2	PH11
DCMI	Slave 8 bits External Synchro	DCMI_D3	PE1
DCMI	Slave 8 bits External Synchro	DCMI_D4	PH14
DCMI	Slave 8 bits External Synchro	DCMI_D5	PI4
DCMI	Slave 8 bits External Synchro	DCMI_D6	PE13
DCMI	Slave 8 bits External Synchro	DCMI_D7	PI7
DCMI	Slave 8 bits External Synchro	DCMI_HSYNC	PH8
DCMI	Slave 8 bits External Synchro	DCMI_PIXCLK	PA6
DCMI	Slave 8 bits External Synchro	DCMI_VSYNC	PI5
DDR	DDR3 / DDR3L	DDR_DDR3	VP_DDR_DDR3
DDR	DDR3 / DDR3L	DDR_A0	DDR_A0
DDR	DDR3 / DDR3L	DDR_A1	DDR_A1
DDR	DDR3 / DDR3L	DDR_A2	DDR_A2
DDR	DDR3 / DDR3L	DDR_A3	DDR_A3
DDR	DDR3 / DDR3L	DDR_A4	DDR_A4
DDR	DDR3 / DDR3L	DDR_A5	DDR_A5
DDR	DDR3 / DDR3L	DDR_A6	DDR_A6
DDR	DDR3 / DDR3L	DDR_A7	DDR_A7
DDR	DDR3 / DDR3L	DDR_A8	DDR_A8
DDR	DDR3 / DDR3L	DDR_A9	DDR_A9
DDR	DDR3 / DDR3L	DDR_A10	DDR_A10
DDR	DDR3 / DDR3L	DDR_A11	DDR_A11
DDR	DDR3 / DDR3L	DDR_ATO	DDR_ATO
DDR	DDR3 / DDR3L	DDR_BA0	DDR_BA0
DDR	DDR3 / DDR3L	DDR_BA1	DDR_BA1
DDR	DDR3 / DDR3L	DDR_BA2	DDR_BA2
DDR	DDR3 / DDR3L	DDR_CASN	DDR_CASN
DDR	DDR3 / DDR3L	DDR_CKE	DDR_CKE
DDR	DDR3 / DDR3L	DDR_CLKN	DDR_CLKN
DDR	DDR3 / DDR3L	DDR_CLKP	DDR_CLKP
DDR	DDR3 / DDR3L	DDR_CSN	DDR_CSN
DDR	DDR3 / DDR3L	DDR_DQ0	DDR_DQ0
DDR	DDR3 / DDR3L	DDR_DQ1	DDR_DQ1
DDR	DDR3 / DDR3L	DDR_DQ2	DDR_DQ2
DDR	DDR3 / DDR3L	DDR_DQ3	DDR_DQ3
DDR	DDR3 / DDR3L	DDR_DQ4	DDR_DQ4
DDR	DDR3 / DDR3L	DDR_DQ5	DDR_DQ5
DDR	DDR3 / DDR3L	DDR_DQ6	DDR_DQ6
DDR	DDR3 / DDR3L	DDR_DQ7	DDR_DQ7
DDR	DDR3 / DDR3L	DDR_DQ8	DDR_DQ8
DDR	DDR3 / DDR3L	DDR_DQ9	DDR_DQ9
DDR	DDR3 / DDR3L	DDR_DQ10	DDR_DQ10
DDR	DDR3 / DDR3L	DDR_DQ11	DDR_DQ11
DDR	DDR3 / DDR3L	DDR_DQ12	DDR_DQ12
DDR	DDR3 / DDR3L	DDR_DQ13	DDR_DQ13
DDR	DDR3 / DDR3L	DDR_DQ14	DDR_DQ14
DDR	DDR3 / DDR3L	DDR_DQ15	DDR_DQ15
DDR	DDR3 / DDR3L	DDR_DQM0	DDR_DQM0
DDR	DDR3 / DDR3L	DDR_DQM1	DDR_DQM1
DDR	DDR3 / DDR3L	DDR_DQS0N	DDR_DQS0N
DDR	DDR3 / DDR3L	DDR_DQS0P	DDR_DQS0P
DDR	DDR3 / DDR3L	DDR_DQS1N	DDR_DQS1N
DDR	DDR3 / DDR3L	DDR_DQS1P	DDR_DQS1P
DDR	DDR3 / DDR3L	DDR_DTO0	DDR_DTO0
DDR	DDR3 / DDR3L	DDR_DTO1	DDR_DTO1
DDR	DDR3 / DDR3L	DDR_ODT	DDR_ODT
DDR	DDR3 / DDR3L	DDR_RASN	DDR_RASN
DDR	DDR3 / DDR3L	DDR_RESETN	DDR_RESETN
DDR	DDR3 / DDR3L	DDR_VREF	DDR_VREF
DDR	DDR3 / DDR3L	DDR_WEN	DDR_WEN
DDR	DDR3 / DDR3L	DDR_ZQ	DDR_ZQ
DDR	32bits	DDR_DDR_32_bits	VP_DDR_DDR_32_bits
DDR	32bits	DDR_DQ16	DDR_DQ16
DDR	32bits	DDR_DQ17	DDR_DQ17
DDR	32bits	DDR_DQ18	DDR_DQ18
DDR	32bits	DDR_DQ19	DDR_DQ19
DDR	32bits	DDR_DQ20	DDR_DQ20
